,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day52,60.0,45.0,90.0,10.0,46.0,48.0,10.0,6.0,3.0,4.0,4.0,2.0,0.0,2.0,5.0,4.0,42.0,3.0,54.0,46.0
Day53,21.0,42.0,62.0,5.0,71.0,53.0,6.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,5.0,1.0,5.0,54.0,48.0,52.0
Day54,73.0,40.0,88.0,7.0,42.0,46.0,7.0,3.0,2.0,2.0,4.0,4.0,2.0,0.0,4.0,1.0,4.0,4.0,54.0,46.0
Day55,16.0,61.0,55.0,10.0,46.0,55.0,11.0,2.0,4.0,2.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,1.0,47.0,53.0
Day56,15.0,43.0,86.0,7.0,45.0,50.0,8.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,52.0,48.0
Day57,39.0,23.0,63.0,54.0,25.0,56.0,39.0,6.0,0.0,1.0,8.0,4.0,4.0,4.0,5.0,3.0,1.0,2.0,46.0,54.0
Day58,15.0,50.0,64.0,9.0,75.0,57.0,7.0,5.0,4.0,0.0,2.0,1.0,4.0,3.0,4.0,0.0,0.0,2.0,48.0,52.0
Day59,14.0,49.0,69.0,4.0,51.0,75.0,6.0,5.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,50.0,50.0
Day60,39.0,23.0,65.0,27.0,27.0,51.0,45.0,6.0,3.0,4.0,0.0,2.0,5.0,3.0,3.0,1.0,3.0,4.0,49.0,51.0
Day61,13.0,43.0,87.0,7.0,45.0,49.0,11.0,52.0,1.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,54.0,46.0
Day62,40.0,18.0,59.0,58.0,20.0,55.0,38.0,2.0,54.0,3.0,4.0,0.0,3.0,6.0,2.0,0.0,5.0,1.0,47.0,53.0
Day63,13.0,50.0,91.0,7.0,51.0,55.0,7.0,3.0,3.0,64.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,47.0,53.0
Day64,38.0,21.0,62.0,32.0,22.0,52.0,62.0,2.0,1.0,2.0,58.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,49.0,51.0
Day65,66.0,43.0,90.0,15.0,46.0,50.0,11.0,3.0,3.0,5.0,3.0,51.0,5.0,2.0,0.0,6.0,1.0,4.0,50.0,50.0
Day66,17.0,40.0,93.0,6.0,39.0,41.0,5.0,6.0,2.0,4.0,4.0,5.0,55.0,1.0,1.0,1.0,2.0,2.0,61.0,39.0
Day67,13.0,40.0,86.0,10.0,45.0,48.0,11.0,1.0,3.0,3.0,2.0,1.0,4.0,49.0,2.0,4.0,2.0,4.0,54.0,46.0
Day68,66.0,58.0,89.0,8.0,61.0,61.0,7.0,2.0,1.0,3.0,6.0,5.0,3.0,1.0,45.0,3.0,2.0,5.0,41.0,59.0
Day69,18.0,48.0,92.0,9.0,49.0,52.0,4.0,1.0,5.0,2.0,2.0,3.0,2.0,4.0,5.0,57.0,2.0,1.0,50.0,50.0
Day70,67.0,51.0,92.0,6.0,53.0,54.0,7.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,57.0,4.0,49.0,51.0
Day71,20.0,50.0,73.0,12.0,68.0,45.0,11.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,5.0,6.0,47.0,57.0,43.0
Day72,73.0,50.0,92.0,11.0,49.0,54.0,10.0,1.0,6.0,6.0,4.0,1.0,2.0,1.0,0.0,4.0,3.0,1.0,46.0,54.0
Day73,16.0,75.0,57.0,9.0,52.0,52.0,7.0,0.0,4.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,4.0,4.0,48.0,52.0
Day74,18.0,48.0,93.0,6.0,49.0,53.0,6.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,3.0,0.0,49.0,51.0
Day75,44.0,22.0,69.0,56.0,24.0,50.0,29.0,3.0,0.0,2.0,0.0,5.0,5.0,2.0,1.0,6.0,3.0,2.0,50.0,50.0
Day76,16.0,40.0,63.0,7.0,68.0,48.0,7.0,3.0,0.0,2.0,2.0,3.0,7.0,0.0,5.0,2.0,0.0,0.0,52.0,48.0
Day77,13.0,56.0,72.0,8.0,55.0,75.0,7.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,59.0,41.0
Day78,49.0,23.0,74.0,37.0,24.0,43.0,53.0,5.0,6.0,3.0,2.0,6.0,3.0,1.0,5.0,2.0,0.0,2.0,58.0,42.0
Day79,15.0,51.0,83.0,7.0,54.0,59.0,9.0,41.0,2.0,2.0,3.0,7.0,6.0,4.0,0.0,3.0,3.0,6.0,42.0,58.0
Day80,48.0,18.0,63.0,61.0,19.0,51.0,36.0,3.0,54.0,3.0,2.0,2.0,2.0,0.0,3.0,4.0,4.0,2.0,49.0,51.0
Day81,16.0,47.0,89.0,7.0,54.0,55.0,3.0,4.0,2.0,57.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,47.0,53.0
Day82,47.0,11.0,64.0,42.0,13.0,45.0,68.0,3.0,4.0,2.0,64.0,0.0,0.0,4.0,2.0,4.0,3.0,1.0,56.0,44.0
Day83,64.0,48.0,88.0,7.0,48.0,53.0,8.0,6.0,2.0,3.0,2.0,54.0,3.0,2.0,2.0,2.0,1.0,2.0,48.0,52.0
Day84,20.0,51.0,96.0,8.0,48.0,47.0,6.0,6.0,1.0,2.0,0.0,1.0,53.0,2.0,2.0,2.0,5.0,3.0,53.0,47.0
Day85,18.0,47.0,86.0,8.0,52.0,55.0,8.0,2.0,4.0,2.0,0.0,4.0,6.0,44.0,4.0,3.0,2.0,5.0,48.0,52.0
Day86,61.0,46.0,90.0,7.0,47.0,48.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,6.0,48.0,6.0,2.0,4.0,52.0,48.0
Day87,16.0,47.0,90.0,16.0,49.0,53.0,15.0,2.0,4.0,4.0,5.0,1.0,4.0,1.0,1.0,54.0,1.0,3.0,49.0,51.0
Day88,76.0,51.0,91.0,7.0,52.0,56.0,9.0,1.0,1.0,0.0,4.0,2.0,2.0,3.0,2.0,4.0,65.0,1.0,46.0,54.0
Day89,17.0,42.0,62.0,4.0,73.0,55.0,7.0,3.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,54.0,46.0,54.0
Day90,62.0,47.0,93.0,1.0,49.0,48.0,3.0,6.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,3.0,57.0,43.0
Day91,16.0,73.0,66.0,6.0,46.0,50.0,8.0,4.0,1.0,3.0,3.0,6.0,2.0,2.0,3.0,1.0,2.0,2.0,51.0,49.0
Day92,22.0,48.0,91.0,14.0,52.0,52.0,12.0,3.0,5.0,4.0,4.0,0.0,3.0,0.0,3.0,3.0,2.0,4.0,49.0,51.0
Day93,39.0,16.0,60.0,60.0,19.0,52.0,36.0,6.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,49.0,51.0
Day94,19.0,44.0,66.0,5.0,71.0,48.0,6.0,1.0,1.0,2.0,2.0,5.0,4.0,3.0,8.0,3.0,2.0,2.0,53.0,47.0
Day95,13.0,44.0,55.0,7.0,47.0,86.0,8.0,4.0,6.0,3.0,3.0,1.0,2.0,1.0,5.0,3.0,1.0,3.0,38.0,62.0
Day96,45.0,18.0,62.0,38.0,19.0,49.0,61.0,0.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,52.0,48.0
Day97,20.0,46.0,90.0,7.0,48.0,52.0,5.0,55.0,2.0,1.0,1.0,3.0,3.0,1.0,6.0,4.0,2.0,2.0,48.0,52.0
Day98,45.0,17.0,66.0,53.0,25.0,49.0,29.0,1.0,46.0,4.0,4.0,7.0,3.0,4.0,5.0,3.0,0.0,7.0,53.0,47.0
Day99,24.0,38.0,92.0,11.0,38.0,40.0,5.0,3.0,8.0,46.0,2.0,3.0,3.0,2.0,4.0,7.0,6.0,3.0,60.0,40.0
Day100,43.0,16.0,62.0,35.0,18.0,50.0,64.0,4.0,3.0,5.0,61.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,51.0,49.0
Day101,67.0,43.0,87.0,7.0,46.0,51.0,8.0,5.0,0.0,1.0,3.0,51.0,4.0,2.0,7.0,3.0,1.0,3.0,51.0,49.0
Day102,11.0,30.0,84.0,7.0,34.0,44.0,9.0,5.0,2.0,1.0,1.0,3.0,60.0,2.0,2.0,1.0,3.0,3.0,58.0,42.0
Day103,19.0,46.0,87.0,9.0,48.0,55.0,7.0,6.0,4.0,2.0,1.0,6.0,5.0,47.0,3.0,2.0,5.0,5.0,46.0,54.0
Day104,82.0,43.0,92.0,12.0,44.0,50.0,9.0,0.0,6.0,1.0,6.0,5.0,2.0,3.0,64.0,0.0,2.0,1.0,51.0,49.0
Day105,15.0,41.0,95.0,7.0,42.0,45.0,4.0,8.0,3.0,1.0,1.0,3.0,5.0,0.0,1.0,56.0,3.0,0.0,59.0,41.0
Day106,69.0,43.0,91.0,2.0,46.0,47.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,5.0,60.0,7.0,54.0,46.0
Day107,15.0,50.0,66.0,8.0,73.0,49.0,7.0,3.0,3.0,4.0,5.0,3.0,2.0,5.0,5.0,2.0,0.0,53.0,52.0,48.0
Day108,70.0,41.0,93.0,4.0,42.0,45.0,7.0,2.0,0.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,56.0,44.0
Day109,18.0,73.0,72.0,10.0,41.0,43.0,8.0,3.0,3.0,4.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,4.0,59.0,41.0
Day110,21.0,43.0,90.0,16.0,41.0,47.0,13.0,3.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,54.0,46.0
Day111,46.0,22.0,63.0,61.0,22.0,55.0,34.0,4.0,3.0,2.0,3.0,6.0,1.0,4.0,4.0,1.0,2.0,2.0,46.0,54.0
Day112,19.0,47.0,64.0,11.0,72.0,54.0,10.0,2.0,6.0,3.0,4.0,2.0,3.0,0.0,4.0,4.0,4.0,3.0,47.0,53.0
Day113,18.0,45.0,63.0,7.0,49.0,76.0,7.0,2.0,1.0,2.0,4.0,6.0,6.0,4.0,1.0,0.0,1.0,5.0,49.0,51.0
