,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day18,58.0,2.0,1.0,3.0,0.0,1.0,2.0,4.0,6.0,5.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,65.0,35.0
Day19,3.0,56.0,1.0,5.0,4.0,4.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,4.0,1.0,4.0,3.0,2.0,61.0,39.0
Day20,4.0,5.0,54.0,1.0,3.0,0.0,3.0,1.0,2.0,4.0,2.0,3.0,0.0,3.0,3.0,3.0,4.0,5.0,69.0,31.0
Day21,3.0,4.0,5.0,49.0,4.0,1.0,5.0,3.0,2.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,2.0,73.0,27.0
Day22,1.0,2.0,3.0,1.0,55.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,75.0,25.0
Day23,2.0,6.0,2.0,5.0,2.0,44.0,3.0,0.0,4.0,1.0,4.0,4.0,5.0,3.0,3.0,8.0,2.0,2.0,72.0,28.0
Day24,2.0,3.0,4.0,4.0,4.0,3.0,50.0,2.0,2.0,5.0,2.0,5.0,3.0,5.0,0.0,1.0,4.0,1.0,71.0,29.0
Day25,3.0,3.0,4.0,4.0,5.0,4.0,6.0,44.0,3.0,1.0,0.0,1.0,6.0,5.0,3.0,3.0,3.0,2.0,70.0,30.0
Day26,4.0,1.0,3.0,5.0,5.0,1.0,4.0,2.0,52.0,5.0,1.0,2.0,4.0,1.0,2.0,3.0,0.0,5.0,64.0,36.0
Day27,2.0,4.0,2.0,5.0,1.0,1.0,2.0,3.0,6.0,53.0,4.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,71.0,29.0
Day28,1.0,3.0,6.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,51.0,0.0,2.0,4.0,3.0,2.0,6.0,2.0,73.0,27.0
Day29,4.0,4.0,0.0,2.0,2.0,3.0,2.0,8.0,3.0,2.0,3.0,51.0,5.0,2.0,4.0,1.0,1.0,3.0,68.0,32.0
Day30,3.0,5.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,59.0,3.0,1.0,1.0,5.0,5.0,70.0,30.0
