,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day22,100.0,2.0,3.0,1.0,53.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,75.0,25.0
Day23,100.0,6.0,3.0,6.0,2.0,43.0,3.0,0.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,8.0,2.0,2.0,73.0,27.0
Day24,100.0,3.0,3.0,3.0,4.0,3.0,51.0,2.0,2.0,5.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,70.0,30.0
Day25,100.0,3.0,4.0,4.0,5.0,4.0,6.0,45.0,3.0,2.0,0.0,1.0,6.0,5.0,2.0,3.0,3.0,1.0,70.0,30.0
Day26,100.0,1.0,3.0,5.0,5.0,1.0,4.0,2.0,52.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,65.0,35.0
Day27,100.0,4.0,2.0,5.0,1.0,1.0,2.0,3.0,6.0,54.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,71.0,29.0
Day28,100.0,4.0,6.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,50.0,0.0,2.0,4.0,3.0,2.0,6.0,2.0,73.0,27.0
Day29,100.0,3.0,0.0,2.0,2.0,4.0,2.0,8.0,3.0,2.0,3.0,51.0,5.0,2.0,4.0,1.0,1.0,3.0,67.0,33.0
Day30,100.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,59.0,3.0,1.0,1.0,5.0,5.0,72.0,28.0
Day31,100.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,51.0,4.0,4.0,3.0,3.0,79.0,21.0
Day32,100.0,1.0,1.0,1.0,3.0,7.0,2.0,2.0,3.0,1.0,2.0,4.0,6.0,2.0,59.0,1.0,3.0,2.0,66.0,34.0
Day33,100.0,1.0,2.0,3.0,5.0,0.0,3.0,2.0,4.0,1.0,6.0,1.0,2.0,2.0,2.0,57.0,5.0,1.0,72.0,28.0
Day34,100.0,0.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,56.0,2.0,75.0,25.0
Day35,100.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,4.0,4.0,6.0,4.0,2.0,0.0,4.0,3.0,57.0,67.0,33.0
Day36,100.0,1.0,2.0,0.0,5.0,3.0,3.0,6.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,63.0,37.0
Day37,100.0,50.0,4.0,2.0,6.0,4.0,1.0,5.0,3.0,0.0,5.0,2.0,2.0,5.0,1.0,3.0,4.0,2.0,71.0,29.0
Day38,100.0,4.0,46.0,3.0,2.0,2.0,6.0,3.0,6.0,6.0,3.0,1.0,1.0,4.0,3.0,5.0,2.0,0.0,76.0,24.0
Day39,100.0,3.0,4.0,50.0,3.0,2.0,2.0,7.0,5.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,69.0,31.0
Day40,100.0,5.0,3.0,3.0,51.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,5.0,7.0,4.0,3.0,1.0,2.0,59.0,41.0
Day41,100.0,4.0,4.0,4.0,1.0,45.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,1.0,7.0,7.0,3.0,65.0,35.0
