,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day19,22.0,59.0,29.0,5.0,4.0,3.0,2.0,0.0,1.0,6.0,11.0,2.0,0.0,9.0,1.0,3.0,3.0,1.0,63.0,37.0
Day20,59.0,4.0,56.0,7.0,4.0,1.0,4.0,1.0,3.0,3.0,7.0,1.0,0.0,11.0,3.0,4.0,4.0,6.0,70.0,30.0
Day21,76.0,3.0,10.0,55.0,4.0,2.0,5.0,3.0,2.0,4.0,9.0,3.0,1.0,6.0,2.0,4.0,4.0,2.0,75.0,25.0
Day22,72.0,2.0,59.0,5.0,50.0,2.0,3.0,5.0,7.0,1.0,5.0,3.0,3.0,7.0,3.0,5.0,2.0,3.0,75.0,25.0
Day23,46.0,6.0,8.0,9.0,1.0,48.0,2.0,1.0,5.0,2.0,54.0,5.0,4.0,6.0,2.0,5.0,3.0,3.0,71.0,29.0
Day24,72.0,3.0,9.0,4.0,4.0,4.0,51.0,1.0,7.0,4.0,10.0,3.0,4.0,11.0,3.0,1.0,4.0,1.0,68.0,32.0
Day25,66.0,2.0,27.0,8.0,5.0,2.0,4.0,48.0,6.0,4.0,6.0,2.0,5.0,6.0,1.0,4.0,2.0,1.0,72.0,28.0
Day26,82.0,1.0,13.0,5.0,4.0,1.0,5.0,1.0,57.0,2.0,6.0,3.0,3.0,4.0,1.0,2.0,1.0,5.0,63.0,37.0
Day27,38.0,4.0,11.0,5.0,1.0,1.0,1.0,3.0,7.0,58.0,61.0,3.0,2.0,7.0,1.0,3.0,2.0,2.0,72.0,28.0
Day28,43.0,5.0,11.0,8.0,3.0,3.0,4.0,5.0,3.0,2.0,51.0,0.0,1.0,13.0,5.0,2.0,6.0,3.0,71.0,29.0
Day29,28.0,3.0,23.0,4.0,2.0,5.0,2.0,7.0,5.0,2.0,9.0,55.0,5.0,5.0,2.0,1.0,3.0,2.0,68.0,32.0
